AOU_Code,BA,DEN,SHR,DIV,EAR,MID,LAT,CAN,DEB,niterations,nburnin,nchains,nthin,step,scales2,date_step1,final_its,NULL
BHVI,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
BHVI,1,0,1,0,0,0,1,0,0,150000,50000,10,10,1,131,22_03_2025,10000,no
BRCR,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
BRCR,0,1,0,1,0,0,1,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
BRCR,0,0,0,1,0,0,0,0,0,150000,50000,10,10,2,1,22_03_2025,10000,no
BTBW,0,0,1,1,1,0,0,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
BTBW,0,0,1,1,1,0,0,0,0,150000,50000,10,10,2,111,22_03_2025,10000,no
DOWO,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
DOWO,1,1,0,1,0,0,0,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
DOWO,0,1,0,1,0,0,1,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
DOWO,1,1,0,0,0,0,0,0,0,150000,50000,10,10,2,23,22_03_2025,10000,no
HAWO,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
HAWO,0,1,0,0,0,0,1,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
HAWO,1,1,0,1,0,0,0,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
HETH,1,1,1,0,0,0,0,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
HETH,0,1,1,0,0,0,0,0,0,150000,50000,10,10,2,11,22_03_2025,10000,no
OVEN,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
OVEN,1,0,1,0,0,0,0,0,0,150000,50000,10,10,2,12,22_03_2025,10000,no
REVI,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
REVI,1,0,1,1,0,0,0,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
REVI,0,0,1,1,0,0,1,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
SCTA,0,0,0,1,0,0,1,0,0,150000,50000,10,10,2,11,22_03_2025,10000,no
SCTA,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
SCTA,1,1,0,0,0,0,0,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
SCTA,0,1,0,1,0,0,1,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
VEER,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
VEER,0,1,1,0,1,0,0,0,0,150000,50000,10,10,2,311,22_03_2025,10000,no
WBNU,0,1,1,0,0,0,1,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
WBNU,0,0,1,0,0,0,0,0,0,150000,50000,10,10,2,3,22_03_2025,10000,no
WOTH,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
WOTH,0,1,1,0,0,0,1,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
WOTH,0,1,1,0,1,0,0,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
YBSA,0,1,0,0,1,0,0,0,0,150000,50000,10,10,1,all,22_03_2025,10000,no
BLBW,1,1,1,0,0,0,0,0,0,150000,50000,10,10,2,all,22_03_2025,10000,no
PIWA,1,1,1,0,0,0,0,0,0,150000,50000,10,10,3,all,22_03_2025,10000,no
BTNW,1,1,1,0,0,0,0,0,0,150000,50000,10,10,4,all,22_03_2025,10000,no
BLBW,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
PIWA,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
BTNW,0,0,0,0,0,0,0,0,0,150000,50000,10,10,1,none,22_03_2025,10000,yes
