AOU_Code,BA,DEN,SHR,DIV,EAR,MID,LAT,CAN,DEB,niterations,nburnin,nchains,nthin,step,scales2,date_step1,final_its,isNULL,mod_name,res_name
BRCR,,,,1,,,,0,0,150000,50000,10,10,2,1,,10000,,,
BTBW,,,1,,1,,,0,0,150000,50000,10,10,2,11,,10000,,,
DOWO,,1,,1,,,,0,0,150000,50000,10,10,1,all,,10000,,,
DOWO,1,,,1,,,,0,0,150000,50000,10,10,1,all,,10000,,,
DOWO,1,1,,,,,,0,0,150000,50000,10,10,1,all,,10000,,,
DOWO,1,,,,,,,0,0,150000,50000,10,10,1,all,,10000,,,
DOWO,,1,,,,,,0,0,150000,50000,10,10,1,all,,10000,,,
HAWO,complete,,,this,,row,,0,0,150000,50000,10,10,1,all,,10000,,,
HETH,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
HETH,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
OVEN,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
OVEN,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
REVI,1,,1,1,,,,0,0,150000,50000,10,10,2,112,,10000,,,
REVI,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
REVI,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
SCTA,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
SCTA,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
SCTA,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
SCTA,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
VEER,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
VEER,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
WBNU,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
WBNU,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
WOTH,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
WOTH,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
WOTH,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
YBSA,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
BLBW,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
PIWA,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
BTNW,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
BLBW,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
PIWA,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
BTNW,,,,,,,,0,0,150000,50000,10,10,,,,10000,,,
